"Date_Format_YYYY_MM_DD","Year","Quarter","Month","Day","Date_id"
"2012-09-30",2012,3,9,30,"20120930"
"2012-10-31",2012,4,10,31,"20121031"
"2012-11-30",2012,4,11,30,"20121130"
"2012-12-31",2012,4,12,31,"20121231"
"2013-01-31",2013,1,1,31,"20130131"
"2013-03-31",2013,1,3,31,"20130331"
"2013-04-30",2013,2,4,30,"20130430"
"2013-05-31",2013,2,5,31,"20130531"
"2013-06-30",2013,2,6,30,"20130630"
"2013-07-31",2013,3,7,31,"20130731"
"2013-08-31",2013,3,8,31,"20130831"
"2013-09-30",2013,3,9,30,"20130930"
"2013-10-31",2013,4,10,31,"20131031"
"2013-02-28",2013,1,2,28,"20130228"
"2013-11-30",2013,4,11,30,"20131130"
"2013-12-31",2013,4,12,31,"20131231"
"2014-01-31",2014,1,1,31,"20140131"
"2014-02-28",2014,1,2,28,"20140228"
"2014-03-31",2014,1,3,31,"20140331"
"2014-04-30",2014,2,4,30,"20140430"
"2014-05-31",2014,2,5,31,"20140531"
"2014-06-30",2014,2,6,30,"20140630"
"2014-07-31",2014,3,7,31,"20140731"
"2014-08-31",2014,3,8,31,"20140831"
"2014-09-30",2014,3,9,30,"20140930"
"2014-10-31",2014,4,10,31,"20141031"
"2014-11-30",2014,4,11,30,"20141130"
"2014-12-31",2014,4,12,31,"20141231"
"2015-01-31",2015,1,1,31,"20150131"
"2015-02-28",2015,1,2,28,"20150228"
"2015-03-31",2015,1,3,31,"20150331"
"2015-04-30",2015,2,4,30,"20150430"
"2015-05-31",2015,2,5,31,"20150531"
"2015-06-30",2015,2,6,30,"20150630"
"2015-08-31",2015,3,8,31,"20150831"
"2015-07-31",2015,3,7,31,"20150731"
"2015-09-30",2015,3,9,30,"20150930"
"2015-10-31",2015,4,10,31,"20151031"
"2015-11-30",2015,4,11,30,"20151130"
"2015-12-31",2015,4,12,31,"20151231"
"2016-01-31",2016,1,1,31,"20160131"
"2016-02-29",2016,1,2,29,"20160229"
"2016-03-31",2016,1,3,31,"20160331"
"2016-05-31",2016,2,5,31,"20160531"
"2016-04-30",2016,2,4,30,"20160430"
"2016-06-30",2016,2,6,30,"20160630"
"2016-07-31",2016,3,7,31,"20160731"
"2016-08-31",2016,3,8,31,"20160831"
"2016-10-31",2016,4,10,31,"20161031"
"2016-11-30",2016,4,11,30,"20161130"
"2016-12-31",2016,4,12,31,"20161231"
"2017-01-31",2017,1,1,31,"20170131"
"2017-02-28",2017,1,2,28,"20170228"
"2017-03-31",2017,1,3,31,"20170331"
"2017-04-30",2017,2,4,30,"20170430"
"2017-05-31",2017,2,5,31,"20170531"
"2016-09-30",2016,3,9,30,"20160930"
"2017-06-30",2017,2,6,30,"20170630"
"2017-07-31",2017,3,7,31,"20170731"
"2017-08-31",2017,3,8,31,"20170831"
"2017-09-30",2017,3,9,30,"20170930"
"2017-10-31",2017,4,10,31,"20171031"
"2017-11-30",2017,4,11,30,"20171130"
"2017-12-31",2017,4,12,31,"20171231"
"2018-01-31",2018,1,1,31,"20180131"
"2018-02-28",2018,1,2,28,"20180228"
"2018-03-31",2018,1,3,31,"20180331"
"2018-04-30",2018,2,4,30,"20180430"
"2018-05-31",2018,2,5,31,"20180531"
"2018-07-31",2018,3,7,31,"20180731"
"2018-06-30",2018,2,6,30,"20180630"
"2018-08-31",2018,3,8,31,"20180831"
"2018-09-30",2018,3,9,30,"20180930"
"2018-10-31",2018,4,10,31,"20181031"
"2018-11-30",2018,4,11,30,"20181130"
"2018-12-31",2018,4,12,31,"20181231"
"2019-01-31",2019,1,1,31,"20190131"
"2019-02-28",2019,1,2,28,"20190228"
"2019-03-31",2019,1,3,31,"20190331"
"2019-04-30",2019,2,4,30,"20190430"
"2019-05-31",2019,2,5,31,"20190531"
"2019-06-30",2019,2,6,30,"20190630"
"2019-07-31",2019,3,7,31,"20190731"
